"id","title","amount of children","num of people lives with","age","time living the same address","time in job","telephone","num of bank loans","num finished loans","income","EC-card holders","salary","salary+ec-cards","credit risk","running loans","region","requested cash","type of business","resident type","nationality","profession","transport","credit cards","good/bad"
"25","R","0","1","46","60","336","1","0","0","2300","1","2500","3","3","0","0","5000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"26","R","0","1","70","288","144","1","0","0","1000","0","2500","2","3","0","2","700","Radio, TV, Hifi","Lease","German","Pensioner","Without Vehicle","no credit cards","0"
"27","R","2","3","37","96","168","1","0","0","1500","0","2500","2","3","0","0","4000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"28","R","0","1","57","168","48","2","2","1","0","0","0","0","1","1","0","600","Radio, TV, Hifi","Lease","German","Pensioner","Without Vehicle","Mastercard/Euroc","0"
"29","R","3","4","39","120","33","1","2","0","2000","0","2500","2","1","0","0","1800","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"30","H","2","3","35","36","45","2","0","1","4000","0","100000","4","1","1","0","2500","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"31","H","0","1","68","144","33","1","0","0","0","1","0","1","1","1","0","1000","Furniture,Carpet","Lease","German","Pensioner","Car","Cheque card","1"
"32","R","0","1","54","88","66","2","2","1","0","1","0","1","1","1","0","3000","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","0"
"33","R","3","4","39","168","15","1","0","0","1500","0","2500","2","1","1","0","700","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"34","H","1","2","37","88","42","2","0","0","1800","0","2500","2","1","1","0","1700","Dept. Store,Mail","Owner","German","Others","Car","no credit cards","1"
"35","R","0","1","46","120","36","1","0","0","0","1","0","1","3","0","0","4000","Furniture,Carpet","Lease","German","Civil Service, M","Car","Cheque card","0"
"36","R","0","1","50","72","66","2","2","0","2300","0","2500","2","1","1","0","1100","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","0"
"37","H","2","3","42","42","15","1","0","0","2500","0","2500","2","1","1","0","2500","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"38","H","1","2","32","84","168","1","0","0","1600","0","2500","2","3","0","0","1800","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"39","H","2","3","41","216","84","1","0","1","0","1","0","1","1","2","0","500","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"40","H","2","3","34","144","33","2","2","0","0","1","0","1","1","3","0","1600","Furniture,Carpet","Lease","German","Civil Service, M","Car","Cheque card","1"
"41","H","0","1","59","120","24","2","0","1","0","1","0","1","1","1","0","1200","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"42","H","1","2","29","36","36","2","0","1","0","1","0","1","1","1","0","2000","Radio, TV, Hifi","Lease","German","Civil Service, M","Car","Cheque card","0"
"43","R","3","4","42","96","288","2","0","1","3000","0","100000","4","1","1","0","1200","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"44","R","0","1","59","88","33","2","0","0","0","1","0","1","3","0","0","1500","Furniture,Carpet","Lease","German","Pensioner","Car","Cheque card","0"
"45","R","1","2","41","120","9","2","0","1","1900","0","2500","2","3","0","0","800","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"46","R","0","1","40","144","288","2","0","0","2600","0","100000","4","1","2","0","1900","Furniture,Carpet","Lease","German","Food,Building,Ca","Car","no credit cards","1"
"47","R","1","2","36","54","27","2","0","0","0","1","0","1","1","1","0","4000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"48","R","2","3","39","144","21","2","0","0","0","1","0","1","3","0","0","1500","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Without Vehicle","Cheque card","0"
"49","R","1","2","44","192","42","2","0","0","0","1","0","1","1","1","0","1600","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","1"
"50","R","0","1","53","9","3","2","2","1","1500","0","2500","2","3","0","7","0","Furniture,Carpet","Lease","Turkish","Others","Without Vehicle","no credit cards","1"
"51","H","0","1","30","42","12","2","0","1","3000","0","100000","4","1","1","0","1300","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"52","H","0","1","40","60","9","2","0","1","1500","0","2500","2","3","0","0","700","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"53","R","2","3","37","192","84","2","0","0","1500","0","2500","2","3","0","0","1400","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"54","R","0","1","64","48","45","2","2","1","0","1","0","1","3","0","0","2000","Radio, TV, Hifi","Lease","German","Pensioner","Without Vehicle","Cheque card","0"
"55","H","0","1","47","168","216","1","0","0","0","1","0","1","1","1","0","700","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","0"
"56","R","0","1","56","88","96","1","0","1","1500","0","2500","2","1","1","0","1100","Furniture,Carpet","Lease","German","Pensioner","Without Vehicle","no credit cards","0"
"57","R","2","3","41","30","216","2","0","0","0","0","0","0","1","2","0","1900","Furniture,Carpet","Lease","German","Others","Car","Mastercard/Euroc","1"
"58","H","1","2","40","88","240","1","0","1","2200","0","2500","2","3","0","0","3000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"59","R","1","2","29","96","48","2","0","0","2600","0","100000","4","3","0","0","600","Dept. Store,Mail","Lease","German","Civil Service, M","Without Vehicle","no credit cards","0"
"60","R","0","1","44","264","66","1","0","0","1900","0","2500","2","1","1","0","1200","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"61","H","0","1","55","144","21","1","0","0","1800","0","2500","2","1","1","0","600","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","0"
"62","R","2","3","46","192","15","1","0","0","2500","0","2500","2","3","0","0","100000","Cars","Lease","German","Others","Car","no credit cards","0"
"63","R","0","1","30","48","48","1","0","0","0","1","0","1","1","1","0","1000","Furniture,Carpet","Lease","German","Civil Service, M","Car","Cheque card","0"
"64","R","0","1","39","108","216","1","1","1","0","1","0","1","1","1","0","1500","Furniture,Carpet","Lease","German","Food,Building,Ca","Without Vehicle","Cheque card","1"
"65","H","0","1","56","108","12","1","0","0","1600","0","2500","2","1","0","0","1300","Dept. Store,Mail","Lease","German","Pensioner","Without Vehicle","no credit cards","1"
"66","R","0","1","63","312","33","2","0","0","1500","0","2500","2","1","3","0","1400","Furniture,Carpet","Owner","German","Others","Without Vehicle","no credit cards","1"
"67","H","2","3","33","54","30","1","0","1","2500","0","2500","2","1","1","0","800","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"68","R","3","4","35","48","66","1","0","0","0","1","0","1","1","2","0","1900","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"69","R","0","1","37","192","24","2","0","0","2300","0","2500","2","1","1","4","0","Furniture,Carpet","Lease","German","Food,Building,Ca","Car","VISA mybank","0"
"70","H","1","2","32","144","33","2","0","1","2400","0","2500","2","3","0","0","1500","Cars","Lease","German","Others","Car","no credit cards","0"
"71","R","0","1","52","120","66","2","0","0","0","1","0","1","1","1","0","1200","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"72","H","1","2","38","84","9","1","0","0","0","1","0","1","1","1","0","2500","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"73","H","1","2","45","15","39","1","0","0","0","1","0","1","3","0","0","1800","Dept. Store,Mail","Lease","German","Civil Service, M","Car","Cheque card","0"
"74","H","1","2","38","48","216","1","0","0","0","1","0","1","1","2","0","1000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"75","R","2","3","36","18","42","1","0","0","0","1","0","1","1","2","0","1600","Furniture,Carpet","Lease","German","Civil Service, M","Car","Cheque card","0"
"76","R","0","1","51","336","84","2","0","0","1500","0","2500","2","3","0","0","1200","Dept. Store,Mail","Owner","German","Pensioner","Without Vehicle","no credit cards","0"
"77","H","0","1","28","60","144","2","2","1","2000","0","2500","2","1","2","0","700","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"78","R","0","1","62","120","27","2","0","0","0","0","0","0","3","0","0","1100","Furniture,Carpet","Lease","German","Pensioner","Without Vehicle","Mastercard/Euroc","0"
"79","H","0","1","50","168","288","1","0","0","0","1","0","1","1","1","0","1800","Dept. Store,Mail","Lease","German","Civil Service, M","Car","Cheque card","0"
"80","H","3","4","49","96","192","2","0","0","0","1","0","1","1","1","0","4000","Dept. Store,Mail","Lease","German","Others","Without Vehicle","Cheque card","0"
"81","H","1","2","27","264","36","1","0","1","0","1","0","1","1","1","0","4000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"82","R","1","2","45","84","9","2","0","0","1800","0","2500","2","3","0","0","2500","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Without Vehicle","no credit cards","1"
"83","R","0","1","57","88","48","1","0","0","0","1","0","1","1","1","0","1500","Furniture,Carpet","Lease","German","Pensioner","Without Vehicle","Cheque card","0"
"84","R","1","2","38","144","144","2","0","0","0","1","0","1","1","1","0","3000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"85","H","0","1","40","48","240","2","0","0","0","1","0","1","1","1","0","1700","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"86","R","3","4","37","96","21","2","2","0","1500","0","2500","2","1","1","0","1400","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"87","R","2","3","38","144","6","2","0","0","0","1","0","1","1","1","0","900","Furniture,Carpet","Lease","German","Civil Service, M","Car","Cheque card","0"
"88","R","1","2","48","216","60","1","0","0","2200","1","2500","3","3","0","0","1000","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"89","R","1","2","44","42","42","1","0","0","2100","0","2500","2","1","1","0","1100","Dept. Store,Mail","Lease","German","Civil Service, M","Car","no credit cards","1"
"90","H","2","3","34","120","15","2","0","0","2100","0","2500","2","1","1","0","1100","Radio, TV, Hifi","Owner","German","Civil Service, M","Car","no credit cards","1"
"91","R","0","1","21","9","9","2","0","0","1500","0","2500","2","3","0","4","600","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"92","H","1","2","32","66","42","2","0","1","3000","0","100000","4","3","0","0","4000","Radio, TV, Hifi","Lease","Turkish","Others","Without Vehicle","no credit cards","1"
"93","R","0","1","24","30","39","2","0","1","1700","0","2500","2","3","0","7","1700","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"94","R","0","1","52","144","144","2","0","1","2100","0","2500","2","1","1","0","1000","Dept. Store,Mail","Lease","German","Civil Service, M","Without Vehicle","no credit cards","1"
"95","R","0","1","45","42","27","2","0","0","1900","0","2500","2","1","3","4","4000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"96","R","1","2","44","144","27","2","0","1","0","1","0","1","3","0","0","1200","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"97","H","0","1","50","24","54","2","0","1","2300","0","2500","2","1","1","3","3000","Dept. Store,Mail","Lease","Other European","Others","Car","no credit cards","1"
"98","H","1","2","35","312","54","2","0","0","2800","0","100000","4","1","1","4","2500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"99","R","4","5","44","108","12","2","0","0","1000","0","2500","2","1","0","3","500","Radio, TV, Hifi","Lease","Turkish","Food,Building,Ca","Car","no credit cards","1"
"100","R","1","2","35","96","21","2","0","0","2500","0","2500","2","1","1","4","1700","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"101","R","1","2","25","18","30","1","0","0","2400","0","2500","2","1","2","4","1900","Dept. Store,Mail","Lease","German","Food,Building,Ca","Without Vehicle","no credit cards","1"
"102","R","1","2","45","24","6","2","0","1","2200","0","2500","2","1","1","3","1000","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"103","R","1","2","38","21","24","2","0","0","2300","0","2500","2","3","0","3","900","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","0"
"104","R","0","1","50","36","60","2","0","1","0","1","0","1","1","1","3","700","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"105","R","0","1","67","144","108","2","0","1","2200","0","2500","2","3","0","5","5000","Furniture,Carpet","Lease","German","Pensioner","Without Vehicle","no credit cards","0"
"106","H","1","2","43","54","3","2","0","1","2100","0","2500","2","1","0","7","2500","Dept. Store,Mail","Lease","German","Others","Without Vehicle","no credit cards","1"
"107","R","0","1","23","21","84","2","0","1","2200","0","2500","2","1","2","0","500","Leisure","Lease","German","Others","Without Vehicle","no credit cards","1"
"108","R","0","1","27","84","15","2","0","0","0","1","0","1","1","3","0","3000","Radio, TV, Hifi","Lease","German","Self-employed pe","Without Vehicle","Cheque card","1"
"109","H","1","2","49","6","144","2","0","1","2500","0","2500","2","3","0","8","1000","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"110","R","1","2","33","54","42","2","0","0","1800","0","2500","2","3","0","3","1500","Furniture,Carpet","Lease","German","Civil Service, M","Car","no credit cards","0"
"111","H","1","2","34","36","24","2","0","1","2700","0","100000","4","1","1","7","1500","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","0"
"112","H","0","1","36","48","42","1","0","0","2300","0","2500","2","3","0","2","1500","Radio, TV, Hifi","Lease","Others","Others","Without Vehicle","no credit cards","1"
"113","H","0","1","40","84","33","2","0","1","2400","0","2500","2","3","0","4","1100","Furniture,Carpet","Lease","Other European","Others","Car","no credit cards","0"
"114","R","2","3","39","66","42","2","0","1","0","1","0","1","1","1","2","700","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"115","H","0","1","34","3","54","2","0","0","2500","0","2500","2","1","3","9","2500","Cars","Lease","German","Others","Car","no credit cards","0"
"116","R","2","3","40","84","39","2","0","1","2200","0","2500","2","3","0","8","2500","Furniture,Carpet","Lease","German","Food,Building,Ca","Car","Other credit car","0"
"117","R","0","1","35","120","24","2","0","0","2300","0","2500","2","3","0","9","1000","Radio, TV, Hifi","Lease","Turkish","Others","Without Vehicle","no credit cards","0"
"118","R","0","1","47","30","39","2","0","1","0","1","0","1","3","0","6","800","Dept. Store,Mail","Lease","German","Self-employed pe","Car","Cheque card","1"
"119","R","1","2","26","15","54","2","0","0","2300","0","2500","2","3","0","3","500","Radio, TV, Hifi","Lease","German","Civil Service, M","Car","no credit cards","0"
"120","R","0","1","40","264","288","2","0","1","0","1","0","1","3","0","6","3000","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"121","R","0","1","30","54","54","2","0","0","2400","0","2500","2","1","2","2","2000","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"122","H","0","1","42","96","72","1","0","1","0","1","0","1","1","1","9","2500","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","1"
"123","R","3","4","38","3","12","2","0","0","0","1","0","1","1","1","3","1500","Furniture,Carpet","Lease","Greek","Others","Car","Cheque card","0"
"124","R","4","5","37","312","84","2","0","0","1800","0","2500","2","3","0","0","1500","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"125","H","0","1","35","120","27","2","0","0","2700","0","100000","4","1","2","8","100000","Cars","Owner","German","Food,Building,Ca","Car","no credit cards","1"
"126","R","0","1","45","120","120","2","0","1","1700","0","2500","2","3","0","3","500","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"127","R","0","1","45","9","336","2","0","0","0","1","0","1","3","0","3","500","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"128","R","0","1","51","240","36","2","0","0","1000","0","2500","2","3","0","6","900","Dept. Store,Mail","Lease","German","Civil Service, M","Car","no credit cards","1"
"129","H","1","2","31","54","54","1","0","0","0","1","0","1","1","1","2","4000","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"130","H","0","1","41","36","24","2","0","0","0","1","0","1","1","1","0","1000","Dept. Store,Mail","Lease","German","Civil Service, M","Car","Cheque card","0"
"131","R","1","2","40","96","288","2","0","1","2700","0","100000","4","1","4","0","1000","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"132","R","1","2","47","12","108","2","0","0","4000","0","100000","4","1","1","4","3000","Radio, TV, Hifi","Lease","German","Self-employed pe","Car","no credit cards","1"
"133","H","0","1","29","24","27","2","0","1","2000","0","2500","2","1","1","4","900","Cars","Lease","German","Others","Without Vehicle","no credit cards","1"
"134","R","0","1","40","48","15","2","0","0","1500","0","2500","2","3","0","5","1500","Furniture,Carpet","Lease","German","Food,Building,Ca","Without Vehicle","no credit cards","1"
"135","R","2","3","38","120","96","2","0","1","1900","0","2500","2","3","0","0","1700","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"136","H","1","2","34","96","6","2","0","1","3500","0","100000","4","1","3","5","2000","Leisure","Lease","German","Others","Car","no credit cards","1"
"137","R","0","1","26","96","15","2","0","1","2400","0","2500","2","1","1","2","1400","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Car","no credit cards","0"
"138","H","1","2","38","21","21","2","0","0","2700","0","100000","4","3","0","7","500","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"139","H","0","1","45","36","36","2","0","0","2100","0","2500","2","3","0","2","1000","Radio, TV, Hifi","Lease","German","Pensioner","Without Vehicle","no credit cards","1"
"140","R","1","2","31","84","30","2","0","0","1500","0","2500","2","1","0","3","1700","Furniture,Carpet","Lease","German","Civil Service, M","Without Vehicle","no credit cards","0"
"141","R","2","3","39","36","84","2","0","1","2000","0","2500","2","1","3","4","900","Radio, TV, Hifi","Lease","German","Civil Service, M","Car","no credit cards","1"
"142","R","0","1","41","42","144","2","0","1","2900","0","100000","4","1","1","4","2500","Leisure","Lease","German","Food,Building,Ca","Car","no credit cards","1"
"143","R","0","1","58","288","30","2","0","0","0","1","0","1","1","1","0","1600","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"144","R","0","1","52","6","84","2","0","1","1800","0","2500","2","1","1","2","2500","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"145","R","0","1","31","42","39","2","0","1","0","1","0","1","3","0","3","1100","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","1"
"146","R","1","2","36","9","6","2","0","0","1600","0","2500","2","1","1","8","900","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"147","R","0","1","47","144","27","2","0","1","4000","0","100000","4","1","2","6","900","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","0"
"148","H","0","1","68","3","120","1","0","0","1000","0","2500","2","3","0","2","500","Radio, TV, Hifi","Lease","German","Pensioner","Without Vehicle","no credit cards","0"
"149","H","0","1","53","48","45","2","0","1","3200","0","100000","4","1","3","6","5000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"150","R","1","2","33","96","27","2","0","1","1500","0","2500","2","3","0","4","1800","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","0"
"151","H","2","3","33","18","216","1","0","1","2900","0","100000","4","1","3","6","1500","Furniture,Carpet","Lease","German","Food,Building,Ca","Car","no credit cards","0"
"152","H","0","1","26","30","21","2","0","1","3500","0","100000","4","1","3","4","1300","Cars","Lease","German","Others","Car","no credit cards","0"
"153","R","0","1","41","36","12","2","0","0","2200","0","2500","2","1","0","8","1200","Cars","Lease","Others","Others","Without Vehicle","no credit cards","1"
"154","R","2","3","34","192","144","2","0","1","1500","0","2500","2","1","1","8","500","Cars","Lease","German","Others","Car","no credit cards","1"
"155","H","0","1","56","0","21","2","1","1","1500","0","2500","2","1","1","4","1900","Furniture,Carpet","Lease","German","Pensioner","Car","no credit cards","0"
"156","H","0","1","49","144","18","2","0","0","3400","0","100000","4","1","1","0","2500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"157","R","2","3","29","3","45","2","0","0","1500","0","2500","2","3","0","6","2000","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"158","H","3","4","31","120","6","2","2","1","2700","0","100000","4","1","1","3","3000","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"159","H","0","1","44","88","30","2","0","1","2600","1","100000","5","1","2","2","700","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"160","R","0","1","30","54","15","2","0","0","2000","0","2500","2","1","1","7","800","Radio, TV, Hifi","Lease","Other European","Others","Car","no credit cards","1"
"161","R","1","2","38","48","168","2","0","1","3200","0","100000","4","1","2","6","6000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"162","H","3","4","31","6","9","2","0","0","1900","0","2500","2","3","0","4","700","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"163","R","2","3","36","15","12","2","0","1","2500","0","2500","2","3","0","7","2500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"164","R","1","2","31","9","6","2","0","0","2100","0","2500","2","1","1","3","4000","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"165","R","1","2","23","48","72","2","0","0","2500","0","2500","2","1","1","7","700","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Car","no credit cards","0"
"166","R","0","1","30","3","108","2","0","0","0","1","0","1","1","3","0","3000","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","0"
"167","H","1","2","33","15","15","2","0","0","5000","0","100000","4","1","3","2","4000","Radio, TV, Hifi","Lease","German","Civil Service, M","Car","no credit cards","1"
"168","R","1","2","33","36","24","2","0","0","0","1","0","1","3","0","2","1500","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"169","R","0","1","54","216","3","2","0","0","2400","0","2500","2","1","1","4","9000","Cars","Lease","German","Pensioner","Car","no credit cards","1"
"170","R","0","1","56","144","192","2","0","0","2100","0","2500","2","3","0","2","1500","Dept. Store,Mail","Lease","German","Civil Service, M","Car","no credit cards","0"
"171","H","0","1","37","54","42","2","0","1","2500","0","2500","2","1","3","5","2000","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"172","R","1","2","29","36","36","2","0","0","1800","0","2500","2","1","1","7","1300","Furniture,Carpet","Lease","German","Food,Building,Ca","Car","no credit cards","1"
"173","H","0","1","44","0","30","2","0","0","2900","0","100000","4","1","2","2","1000","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"174","H","2","3","33","42","45","1","0","0","0","1","0","1","3","0","2","900","Radio, TV, Hifi","Lease","German","Self-employed pe","Car","Cheque card","1"
"175","R","1","2","39","18","45","2","0","0","1700","0","2500","2","1","1","3","800","Dept. Store,Mail","Lease","German","Others","Without Vehicle","no credit cards","0"
"176","H","1","2","45","15","144","2","0","0","1500","0","2500","2","3","0","5","2500","Radio, TV, Hifi","Lease","German","Pensioner","Car","no credit cards","0"
"177","H","1","2","48","21","15","2","0","1","0","1","0","1","1","1","3","3000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"178","H","0","1","27","42","15","1","1","1","2500","0","2500","2","1","0","0","5000","Radio, TV, Hifi","Lease","Turkish","Others","Without Vehicle","no credit cards","1"
"179","H","2","3","36","15","192","2","1","1","3200","0","100000","4","1","1","5","800","Dept. Store,Mail","Lease","German","Food,Building,Ca","Car","no credit cards","1"
"180","R","1","2","32","3","108","2","2","0","0","1","0","1","1","2","0","1700","Radio, TV, Hifi","Lease","German","Civil Service, M","Without Vehicle","Cheque card","0"
"181","R","1","2","25","6","3","2","2","1","1500","0","2500","2","1","1","3","800","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"182","R","2","3","42","144","192","2","2","0","3200","0","100000","4","1","2","4","1000","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"183","H","1","2","43","54","120","2","2","1","2600","0","100000","4","1","1","7","2500","Radio, TV, Hifi","Lease","German","Pensioner","Without Vehicle","no credit cards","1"
"184","R","0","1","41","240","120","2","2","1","2500","0","2500","2","1","2","2","2500","Furniture,Carpet","Lease","German","Civil Service, M","Car","no credit cards","1"
"185","R","2","3","38","192","48","2","2","0","2500","0","2500","2","1","2","2","1400","Furniture,Carpet","Lease","German","Self-employed pe","Car","no credit cards","1"
